Age,Color,Sex,Weight,Housemanners,LeftUnattended,EarCleaning,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
7,1,1,49,3,3,4,5,4,5,0
4,1,1,30.8,4,4,5,5,4,5,0
3,1,0,22,4,4,5,5,5,1,0
8,1,1,50,4,4,5,4,3,1,0
4,1,1,30,3,3,4,5,3,1,0
4,1,1,35,3,2,5,4,3,1,0
4,1,0,22,4,4,5,5,5,5,0
7,1,1,44,5,5,5,4,4,4,0
8,5,1,48,4,5,5,5,5,5,0
4,5,1,26,4,4,3,4,4,1,0
4,5,1,40,4,5,4,4,5,5,0
8,5,1,48,4,5,5,5,5,5,0
8,5,1,50,5,5,5,5,4,3,0
5,5,1,25,4,4,3,5,3,3,0
8,5,1,52,3,3,4,5,3,1,0
4,5,1,31,5,4,5,5,4,5,0
8,1,0,45,4,4,5,5,4,5,0
4,1,0,32,3,3,5,4,4,5,0
8,2,1,60,5,5,4,4,4,5,0
4,2,1,41,4,3,4,4,3,4,0
7,5,0,55,5,5,5,5,4,5,0
8,5,0,55,3,4,5,5,2,5,0
4,5,1,28,4,3,4,5,4,4,0
4,5,0,37.5,4,5,3,5,4,1,0
8,5,1,50,4,5,5,5,4,4,0
5,5,1,45,2,4,5,5,4,1,0
7,5,0,45,5,5,5,5,4,5,0
3,5,0,19,5,3,5,5,4,4,0
3,5,0,19,5,3,5,5,4,4,0
7,5,0,45,5,5,5,5,4,5,0
4,5,1,0,3,3,3,5,5,1,0
7,5,1,43,5,4,4,5,4,1,0
7,5,1,43,5,4,4,5,4,1,0
5,5,0,40,5,5,5,5,4,5,0
8,5,0,53,5,5,5,4,5,5,0
4,5,1,29.5,3,4,5,5,5,5,0
4,5,0,40,4,1,4,5,5,5,0
7,5,0,58,5,5,5,5,5,5,0
3,1,0,25,4,4,5,5,5,5,0
8,1,1,53,4,4,4,5,4,1,0
5,1,1,44,3,4,4,5,4,3,0
7,5,0,65,5,5,5,5,5,1,0
4,5,0,40,4,3,4,5,5,1,0
7,1,0,0,4,4,4,5,5,5,0
8,1,0,62,5,5,5,4,4,5,0
8,5,1,46,3,2,5,5,4,4,0
7,5,1,54,3,3,3,5,5,1,0
7,5,0,50,4,4,5,5,4,4,0
4,5,0,33,4,4,5,0,4,3,0
3,5,1,25,4,3,3,5,4,1,0
8,5,1,51,5,5,4,5,4,4,0
4,5,1,35,4,3,5,5,5,3,0
4,5,0,45,4,4,5,5,4,1,0
8,5,0,65,4,4,5,5,4,1,0
4,5,0,27,4,4,5,5,4,5,0
8,5,0,57,5,5,5,5,5,5,0
4,2,1,40,4,3,3,5,3,1,0
8,2,1,67.5,3,1,3,5,4,5,0
8,4,1,61,3,4,3,5,4,1,0
4,2,1,35,3,3,3,0,5,1,0
8,1,1,47,5,5,5,5,5,4,0
4,1,1,26.2,5,4,5,5,5,5,0
4,5,1,37,4,3,4,5,4,5,0
8,1,0,60,4,3,5,5,3,5,0
4,1,0,34.5,2,1,3,4,5,4,0
8,1,0,60,4,3,5,5,3,5,0
4,1,0,34.5,2,1,3,4,5,4,0
4,5,0,31,3,1,1,5,5,1,0
7,5,0,64,5,4,2,5,4,5,0
8,5,1,37,5,5,5,5,5,5,0
4,5,1,24,4,4,5,5,4,1,0
4,1,1,36,3,3,4,5,2,4,0
8,5,1,48.5,5,4,5,5,5,5,0
4,5,1,29,5,5,5,5,5,5,0
6,5,0,42,3,3,5,5,4,4,0
8,1,0,65,3,4,3,5,4,3,0
4,1,0,35,4,2,0,5,5,0,0
